month,state,soil type,seed type,weather condition,irrigation,fertilizer usage,pesticide usage,corn price(INR/kg),quality
August,Mizoram,Sandy soil,Hybrid,Monsoon,Yes,148,40,45,Silkcut
May,Mizoram,Black soil,Hybrid,Warm and dry,Yes,220,122,39,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,30,Silkcut
March,Punjab,Clay loam,Hybrid,Hot and dry,Yes,281,20,25,Pure
April,Haryana,Red soil,Open-pollinated,Hot and humid,Yes,179,129,44,Broken
May,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,147,30,27,Silkcut
February,Meghalaya,Red soil,Open-pollinated,Hot and humid,Yes,349,99,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
October,Sikkim,Clay soil,Open-pollinated,Warm and dry,Yes,301,128,20,Discolored
May,Haryana,Black soil,Hybrid,Warm and dry,Yes,178,40,27,Broken
August,Bihar,Red soil,Hybrid,Cold and dry,Yes,180,69,27,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,180,41,42,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,121,22,26,Pure
February,Haryana,Laterite soil,Open-pollinated,Hot and humid,Yes,148,31,31,Silkcut
February,West Bengal,Clay loam,Open-pollinated,Warm and dry,Yes,244,30,21,Silkcut
November,Assam,Clay soil,Hybrid,Monsoon,Yes,272,69,43,Discolored
September,Haryana,Alluvial soil,Hybrid,Hot and humid,Yes,180,31,21,Silkcut
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,178,40,25,Broken
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,146,72,21,Silkcut
May,Jharkhand,Laterite soil,Hybrid,Warm and dry,Yes,282,69,39,Pure
September,Sikkim,Black soil,Open-pollinated,Cold and dry,Yes,289,40,40,Pure
March,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,120,41,22,Broken
February,Haryana,Clay soil,Hybrid,Hot and humid,Yes,269,126,28,Discolored
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,148,31,26,Silkcut
July,Punjab,Sandy soil,Hybrid,Hot and dry,Yes,219,21,41,Pure
October,Sikkim,Clay loam,Open-pollinated,Hot and dry,Yes,289,124,39,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,280,29,39,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,180,40,20,Pure
January,Nagaland,Sandy soil,Hybrid,Warm and dry,Yes,120,61,29,Silkcut
April,Punjab,Alluvial soil,Open-pollinated,Warm and dry,Yes,180,126,42,Broken
May,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,152,31,24,Silkcut
April,West Bengal,Laterite soil,Hybrid,Hot and humid,Yes,280,125,28,Silkcut
September,Meghalaya,Red soil,Open-pollinated,Warm and dry,Yes,179,129,21,Broken
August,Tripura,Red soil,Hybrid,Hot and humid,Yes,285,20,29,Pure
March,Jharkhand,Clay soil,Hybrid,Warm and dry,Yes,197,41,43,Pure
March,Uttar Pradesh,Black soil,Hybrid,Monsoon,Yes,284,41,30,Pure
April,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,349,40,26,Silkcut
February,Sikkim,Alluvial soil,Open-pollinated,Hot and humid,Yes,181,40,42,Silkcut
March,Bihar,Laterite soil,Hybrid,Hot and humid,Yes,268,103,25,Silkcut
May,Mizoram,Red soil,Hybrid,Warm and dry,No,182,39,21,Pure
December,Sikkim,Red soil,Hybrid,Monsoon,Yes,270,127,42,Discolored
December,Mizoram,Red soil,Hybrid,Hot and humid,Yes,218,128,26,Broken
February,Assam,Alluvial soil,Open-pollinated,Warm and dry,Yes,266,70,40,Silkcut
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,121,20,20,Pure
December,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,287,127,28,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,149,31,22,Silkcut
May,Meghalaya,Clay soil,Hybrid,Hot and humid,Yes,281,126,37,Discolored
September,Sikkim,Peaty soil,Open-pollinated,Warm and dry,Yes,263,53,44,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,284,20,24,Pure
August,Assam,Red soil,Open-pollinated,Cold and dry,Yes,259,41,30,Pure
January,Meghalaya,Laterite soil,Hybrid,Hot and dry,No,124,103,21,Pure
February,Mizoram,Clay loam,Hybrid,Warm and dry,Yes,151,30,21,Silkcut
January,Tripura,Black soil,Hybrid,Hot and dry,Yes,280,41,24,Silkcut
January,Mizoram,Red soil,Hybrid,Hot and humid,Yes,179,39,25,Silkcut
September,Mizoram,Alluvial soil,Hybrid,Monsoon,Yes,276,101,28,Pure
April,Uttar Pradesh,Peaty soil,Hybrid,Hot and humid,Yes,300,125,30,Broken
January,Jharkhand,Red soil,Hybrid,Hot and dry,No,120,126,27,Pure
March,Haryana,Alluvial soil,Hybrid,Warm and dry,Yes,249,40,21,Pure
September,Nagaland,Alluvial soil,Hybrid,Cold and dry,Yes,269,72,42,Pure
October,Jharkhand,Clay soil,Hybrid,Hot and humid,Yes,284,40,28,Pure
August,Sikkim,Alluvial soil,Open-pollinated,Monsoon,Yes,289,125,46,Broken
January,Punjab,Black soil,Hybrid,Hot and dry,No,120,21,43,Pure
March,Mizoram,Clay soil,Hybrid,Hot and humid,Yes,279,127,43,Pure
December,Sikkim,Clay soil,Open-pollinated,Warm and dry,Yes,295,130,40,Silkcut
January,Bihar,Clay loam,Open-pollinated,Hot and dry,Yes,360,70,38,Broken
December,Jharkhand,Laterite soil,Open-pollinated,Cold and dry,Yes,120,81,38,Pure
September,Sikkim,Clay soil,Hybrid,Monsoon,Yes,302,106,29,Pure
June,Jharkhand,Laterite soil,Open-pollinated,Warm and dry,Yes,351,40,21,Broken
March,West Bengal,Black soil,Hybrid,Hot and humid,Yes,293,40,28,Silkcut
March,Bihar,Black soil,Hybrid,Hot and humid,Yes,177,40,29,Broken
March,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,150,30,42,Broken
August,Nagaland,Laterite soil,Open-pollinated,Warm and dry,Yes,356,50,37,Broken
August,Bihar,Red soil,Open-pollinated,Warm and dry,Yes,281,71,38,Silkcut
January,Punjab,Alluvial soil,Hybrid,Hot and dry,No,122,22,25,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,26,Pure
September,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,180,97,21,Pure
November,Bihar,Peaty soil,Hybrid,Hot and humid,Yes,218,127,21,Discolored
December,Uttar Pradesh,Clay soil,Hybrid,Warm and dry,Yes,179,41,21,Pure
March,Nagaland,Red soil,Hybrid,Monsoon,Yes,355,40,23,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
January,Sikkim,Sandy loam,Hybrid,Hot and dry,No,220,21,21,Pure
October,Nagaland,Black soil,Hybrid,Warm and dry,Yes,179,40,21,Broken
November,Uttar Pradesh,Sandy soil,Hybrid,Monsoon,Yes,342,107,36,Pure
October,Nagaland,Black soil,Hybrid,Warm and dry,Yes,120,106,41,Silkcut
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,200,40,31,Broken
August,Sikkim,Sandy soil,Hybrid,Hot and dry,Yes,282,81,38,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,220,41,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,31,39,Silkcut
February,Bihar,Sandy loam,Hybrid,Hot and humid,Yes,181,22,43,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,40,20,Pure
September,Mizoram,Black soil,Hybrid,Warm and dry,Yes,196,101,41,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,23,Pure
August,Sikkim,Clay soil,Hybrid,Monsoon,Yes,272,70,44,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,291,126,28,Pure
April,Uttar Pradesh,Black soil,Hybrid,Warm and dry,Yes,343,30,24,Broken
August,Bihar,Sandy soil,Hybrid,Hot and humid,Yes,289,40,29,Discolored
December,Sikkim,Sandy soil,Hybrid,Monsoon,Yes,217,71,33,Discolored
April,Mizoram,Black soil,Hybrid,Monsoon,Yes,288,40,24,Broken
February,Nagaland,Black soil,Open-pollinated,Cold and dry,Yes,310,123,27,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,21,Pure
May,Sikkim,Red soil,Hybrid,Hot and dry,Yes,289,71,43,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,No,148,30,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,279,31,41,Silkcut
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,275,129,28,Silkcut
August,Nagaland,Sandy soil,Open-pollinated,Hot and humid,Yes,284,52,28,Discolored
April,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,181,70,26,Broken
March,Uttar Pradesh,Alluvial soil,Hybrid,Hot and humid,Yes,177,40,45,Broken
January,Sikkim,Clay soil,Hybrid,Hot and humid,Yes,274,100,46,Pure
January,Meghalaya,Clay soil,Hybrid,Hot and dry,Yes,269,40,42,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,349,41,24,Broken
April,Nagaland,Red soil,Hybrid,Hot and humid,Yes,179,41,29,Pure
October,Jharkhand,Red soil,Hybrid,Hot and humid,Yes,274,31,27,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,41,39,Broken
June,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,40,21,Broken
October,West Bengal,Clay loam,Open-pollinated,Warm and dry,Yes,120,123,28,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
March,Mizoram,Clay soil,Open-pollinated,Warm and dry,Yes,287,128,46,Pure
December,Jharkhand,Black soil,Open-pollinated,Cold and dry,Yes,180,127,46,Silkcut
March,Mizoram,Black soil,Hybrid,Hot and humid,Yes,120,41,21,Broken
October,Punjab,Black soil,Hybrid,Hot and humid,Yes,304,42,29,Broken
April,Jharkhand,Peaty soil,Open-pollinated,Warm and dry,Yes,283,31,28,Silkcut
May,Sikkim,Clay soil,Hybrid,Hot and dry,Yes,288,20,26,Pure
April,Mizoram,Laterite soil,Open-pollinated,Monsoon,Yes,182,127,29,Silkcut
January,Assam,Clay soil,Hybrid,Hot and dry,Yes,120,21,39,Pure
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,146,31,45,Silkcut
September,Meghalaya,Red soil,Hybrid,Hot and humid,Yes,285,69,38,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
December,Mizoram,Black soil,Hybrid,Hot and humid,Yes,241,70,30,Silkcut
October,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,277,31,44,Silkcut
February,Mizoram,Alluvial soil,Hybrid,Warm and dry,Yes,350,41,43,Silkcut
January,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,40,20,Broken
July,Haryana,Sandy soil,Open-pollinated,Warm and dry,Yes,296,79,41,Silkcut
January,Mizoram,Peaty soil,Hybrid,Hot and humid,Yes,120,105,21,Pure
February,Nagaland,Peaty soil,Open-pollinated,Hot and humid,Yes,288,31,29,Silkcut
March,Haryana,Clay loam,Open-pollinated,Monsoon,Yes,301,70,37,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,30,Silkcut
March,Jharkhand,Sandy soil,Open-pollinated,Cold and dry,Yes,357,127,25,Discolored
September,Sikkim,Clay soil,Hybrid,Monsoon,Yes,276,70,21,Discolored
December,Sikkim,Sandy soil,Hybrid,Hot and dry,Yes,271,129,44,Discolored
October,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,150,30,43,Silkcut
December,Sikkim,Laterite soil,Open-pollinated,Warm and dry,Yes,199,78,20,Pure
March,Jharkhand,Black soil,Hybrid,Warm and dry,Yes,242,39,21,Pure
October,Haryana,Alluvial soil,Hybrid,Monsoon,Yes,297,130,25,Pure
January,Sikkim,Red soil,Open-pollinated,Hot and dry,No,121,20,23,Pure
April,Meghalaya,Sandy soil,Hybrid,Warm and dry,No,271,104,42,Pure
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,150,128,25,Silkcut
February,Bihar,Sandy loam,Open-pollinated,Hot and humid,Yes,150,30,27,Pure
January,Mizoram,Sandy loam,Hybrid,Hot and dry,No,284,20,20,Pure
March,Nagaland,Sandy soil,Hybrid,Hot and humid,Yes,180,31,29,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,32,21,Silkcut
January,Haryana,Black soil,Hybrid,Hot and dry,Yes,120,60,26,Pure
January,Punjab,Black soil,Hybrid,Hot and dry,No,120,20,21,Pure
May,Haryana,Red soil,Hybrid,Hot and humid,Yes,304,105,32,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,21,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,287,23,21,Pure
January,Sikkim,Sandy loam,Hybrid,Hot and dry,No,120,21,29,Pure
December,Sikkim,Red soil,Open-pollinated,Hot and humid,Yes,291,50,45,Discolored
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,120,41,47,Pure
September,Nagaland,Black soil,Open-pollinated,Hot and humid,Yes,308,51,26,Broken
July,Jharkhand,Red soil,Open-pollinated,Monsoon,Yes,289,29,45,Broken
April,Haryana,Peaty soil,Open-pollinated,Monsoon,Yes,280,125,30,Discolored
March,Jharkhand,Laterite soil,Hybrid,Hot and humid,Yes,182,41,29,Broken
September,Mizoram,Clay soil,Hybrid,Monsoon,Yes,285,129,35,Pure
January,Sikkim,Peaty soil,Open-pollinated,Cold and dry,Yes,307,124,43,Discolored
February,Haryana,Alluvial soil,Open-pollinated,Warm and dry,Yes,147,32,41,Silkcut
June,Haryana,Red soil,Open-pollinated,Monsoon,Yes,345,74,43,Silkcut
July,Haryana,Red soil,Open-pollinated,Hot and humid,Yes,301,71,29,Silkcut
January,Haryana,Black soil,Hybrid,Warm and dry,Yes,221,82,37,Broken
April,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,153,29,28,Silkcut
March,Bihar,Black soil,Hybrid,Hot and humid,Yes,178,30,25,Broken
May,Uttar Pradesh,Sandy loam,Hybrid,Hot and dry,Yes,120,20,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,151,30,21,Silkcut
January,Mizoram,Sandy soil,Hybrid,Cold and dry,Yes,282,81,21,Pure
February,Mizoram,Red soil,Open-pollinated,Hot and humid,Yes,120,30,40,Pure
January,Punjab,Peaty soil,Hybrid,Warm and dry,No,120,104,21,Pure
September,Assam,Clay soil,Open-pollinated,Cold and dry,Yes,291,40,42,Silkcut
January,Punjab,Sandy loam,Hybrid,Monsoon,No,120,21,29,Pure
February,Haryana,Sandy soil,Open-pollinated,Warm and dry,Yes,149,31,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,29,Silkcut
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,177,41,43,Broken
March,Haryana,Black soil,Hybrid,Warm and dry,Yes,178,29,28,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,21,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,40,Silkcut
February,Mizoram,Black soil,Open-pollinated,Warm and dry,Yes,151,32,30,Discolored
May,Mizoram,Laterite soil,Open-pollinated,Warm and dry,Yes,150,126,39,Silkcut
December,Bihar,Red soil,Open-pollinated,Monsoon,Yes,285,129,44,Discolored
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
December,Nagaland,Black soil,Hybrid,Hot and humid,Yes,266,31,43,Broken
January,Assam,Sandy loam,Hybrid,Hot and humid,Yes,297,20,28,Pure
January,Jharkhand,Sandy loam,Hybrid,Hot and humid,No,120,20,20,Pure
February,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,346,41,27,Silkcut
March,Sikkim,Clay loam,Hybrid,Hot and humid,Yes,198,48,41,Discolored
July,Haryana,Laterite soil,Open-pollinated,Warm and dry,Yes,148,30,30,Silkcut
July,Bihar,Clay soil,Hybrid,Monsoon,Yes,279,129,39,Pure
September,Sikkim,Alluvial soil,Open-pollinated,Cold and dry,Yes,287,103,43,Discolored
December,Mizoram,Laterite soil,Hybrid,Warm and dry,Yes,358,105,43,Broken
January,Punjab,Red soil,Hybrid,Monsoon,No,120,20,24,Pure
December,Jharkhand,Black soil,Hybrid,Monsoon,Yes,248,60,20,Discolored
August,Sikkim,Sandy soil,Open-pollinated,Monsoon,Yes,120,129,44,Discolored
August,Assam,Alluvial soil,Hybrid,Hot and dry,No,120,20,21,Pure
August,Haryana,Sandy loam,Hybrid,Cold and dry,Yes,120,20,21,Pure
February,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
March,Meghalaya,Black soil,Hybrid,Warm and dry,Yes,255,41,26,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,147,30,29,Silkcut
March,Jharkhand,Clay soil,Hybrid,Warm and dry,Yes,120,41,29,Discolored
November,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,266,29,28,Silkcut
December,Mizoram,Sandy soil,Open-pollinated,Hot and humid,Yes,251,127,38,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,20,Pure
March,Jharkhand,Sandy soil,Open-pollinated,Warm and dry,Yes,200,20,21,Silkcut
February,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,283,31,42,Discolored
January,Jharkhand,Clay soil,Hybrid,Hot and humid,Yes,178,41,28,Broken
May,Mizoram,Alluvial soil,Open-pollinated,Monsoon,Yes,285,129,40,Discolored
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,288,31,20,Silkcut
September,Jharkhand,Alluvial soil,Hybrid,Hot and dry,Yes,197,125,23,Pure
March,Meghalaya,Black soil,Hybrid,Hot and humid,Yes,349,69,29,Broken
May,Nagaland,Laterite soil,Open-pollinated,Hot and dry,Yes,281,72,21,Silkcut
February,Bihar,Alluvial soil,Hybrid,Warm and dry,Yes,148,128,27,Silkcut
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,31,21,Silkcut
July,Meghalaya,Black soil,Hybrid,Warm and dry,Yes,179,40,29,Silkcut
August,Assam,Clay loam,Hybrid,Monsoon,Yes,248,130,42,Discolored
March,Haryana,Black soil,Hybrid,Warm and dry,Yes,293,41,41,Broken
August,Nagaland,Sandy loam,Hybrid,Monsoon,Yes,198,70,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,30,29,Silkcut
July,Uttar Pradesh,Black soil,Hybrid,Hot and dry,Yes,251,107,42,Discolored
December,Sikkim,Black soil,Open-pollinated,Warm and dry,Yes,147,72,30,Silkcut
February,Mizoram,Clay loam,Hybrid,Cold and dry,Yes,251,69,30,Broken
March,Bihar,Black soil,Hybrid,Hot and humid,Yes,120,39,29,Silkcut
January,Punjab,Alluvial soil,Open-pollinated,Hot and humid,Yes,120,31,25,Pure
October,Mizoram,Alluvial soil,Open-pollinated,Warm and dry,Yes,305,130,41,Silkcut
August,Assam,Black soil,Open-pollinated,Monsoon,Yes,178,31,26,Silkcut
February,Haryana,Black soil,Open-pollinated,Warm and dry,Yes,150,29,25,Silkcut
September,Sikkim,Red soil,Hybrid,Hot and humid,Yes,284,128,44,Silkcut
August,Meghalaya,Alluvial soil,Open-pollinated,Warm and dry,No,286,106,44,Discolored
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,262,31,32,Silkcut
April,Sikkim,Alluvial soil,Open-pollinated,Monsoon,Yes,291,108,41,Discolored
May,Punjab,Alluvial soil,Hybrid,Hot and dry,Yes,120,128,25,Pure
July,Nagaland,Alluvial soil,Hybrid,Hot and dry,No,120,20,26,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,148,32,25,Silkcut
August,Meghalaya,Red soil,Hybrid,Monsoon,Yes,120,129,42,Discolored
August,Haryana,Clay loam,Open-pollinated,Cold and dry,Yes,302,31,22,Silkcut
February,Haryana,Red soil,Open-pollinated,Hot and humid,Yes,148,30,32,Silkcut
February,Nagaland,Clay loam,Hybrid,Warm and dry,Yes,293,30,21,Silkcut
April,Mizoram,Red soil,Hybrid,Monsoon,Yes,292,69,31,Discolored
January,Jharkhand,Sandy loam,Hybrid,Hot and dry,No,218,21,23,Pure
February,Haryana,Clay loam,Hybrid,Warm and dry,Yes,288,32,29,Silkcut
February,Haryana,Red soil,Open-pollinated,Warm and dry,Yes,264,70,42,Silkcut
September,Jharkhand,Sandy loam,Hybrid,Monsoon,Yes,271,130,20,Pure
August,Meghalaya,Clay soil,Open-pollinated,Monsoon,Yes,275,127,43,Pure
February,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,149,30,27,Silkcut
May,Mizoram,Alluvial soil,Hybrid,Hot and humid,Yes,294,81,42,Broken
September,Assam,Alluvial soil,Hybrid,Hot and dry,Yes,218,80,41,Pure
January,Meghalaya,Black soil,Open-pollinated,Warm and dry,Yes,178,31,21,Discolored
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,21,21,Pure
February,Mizoram,Black soil,Open-pollinated,Warm and dry,Yes,289,71,42,Silkcut
January,West Bengal,Black soil,Hybrid,Warm and dry,Yes,237,72,38,Broken
September,Sikkim,Black soil,Hybrid,Cold and dry,Yes,261,130,38,Discolored
January,Punjab,Red soil,Hybrid,Hot and dry,No,120,20,24,Pure
February,Bihar,Black soil,Hybrid,Hot and humid,Yes,273,70,30,Broken
May,Uttar Pradesh,Black soil,Open-pollinated,Hot and humid,Yes,178,40,21,Broken
September,Jharkhand,Sandy soil,Open-pollinated,Hot and dry,Yes,199,124,38,Pure
March,Uttar Pradesh,Black soil,Hybrid,Hot and humid,Yes,179,40,27,Broken
February,Haryana,Laterite soil,Hybrid,Hot and humid,Yes,350,30,21,Silkcut
February,Jharkhand,Red soil,Hybrid,Warm and dry,Yes,181,41,27,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,120,21,20,Pure
February,Jharkhand,Clay loam,Open-pollinated,Warm and dry,Yes,147,31,32,Silkcut
October,West Bengal,Clay soil,Hybrid,Warm and dry,Yes,178,102,42,Pure
January,Punjab,Sandy loam,Hybrid,Hot and dry,Yes,278,122,37,Pure
September,Tripura,Black soil,Hybrid,Warm and dry,Yes,177,29,40,Silkcut
February,Mizoram,Clay loam,Open-pollinated,Warm and dry,Yes,147,30,21,Silkcut
December,Nagaland,Red soil,Open-pollinated,Warm and dry,Yes,120,31,27,Pure
September,Meghalaya,Clay soil,Hybrid,Hot and dry,Yes,121,103,28,Pure
March,Haryana,Clay loam,Open-pollinated,Warm and dry,Yes,150,31,21,Silkcut
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,194,22,21,Pure
November,Punjab,Black soil,Hybrid,Warm and dry,No,120,40,25,Silkcut
December,Meghalaya,Red soil,Hybrid,Monsoon,Yes,299,129,39,Pure
January,Sikkim,Peaty soil,Hybrid,Warm and dry,Yes,292,104,27,Pure
February,Haryana,Clay loam,Hybrid,Warm and dry,Yes,150,30,30,Silkcut
March,Bihar,Black soil,Hybrid,Warm and dry,Yes,217,41,31,Broken
September,Nagaland,Red soil,Hybrid,Monsoon,Yes,218,125,22,Discolored
January,Meghalaya,Laterite soil,Open-pollinated,Monsoon,Yes,286,130,25,Discolored
March,Bihar,Red soil,Hybrid,Warm and dry,Yes,180,127,39,Broken
April,Nagaland,Clay soil,Open-pollinated,Cold and dry,Yes,148,72,41,Silkcut
February,Jharkhand,Black soil,Open-pollinated,Warm and dry,Yes,148,72,30,Silkcut
February,Haryana,Clay loam,Open-pollinated,Hot and humid,Yes,304,31,37,Silkcut
October,Assam,Laterite soil,Open-pollinated,Warm and dry,Yes,242,124,41,Silkcut
February,Punjab,Peaty soil,Open-pollinated,Warm and dry,Yes,153,28,21,Silkcut
February,Haryana,Laterite soil,Hybrid,Warm and dry,Yes,149,49,21,Silkcut
March,Assam,Black soil,Hybrid,Hot and humid,Yes,277,122,28,Broken
November,Sikkim,Alluvial soil,Hybrid,Monsoon,Yes,295,125,44,Discolored
March,Haryana,Black soil,Hybrid,Hot and dry,Yes,120,41,28,Pure
January,Nagaland,Sandy loam,Hybrid,Hot and dry,No,120,103,27,Pure
May,Haryana,Black soil,Hybrid,Warm and dry,Yes,179,30,20,Broken
January,Punjab,Sandy loam,Hybrid,Hot and dry,No,120,20,20,Pure
March,Jharkhand,Black soil,Hybrid,Hot and humid,Yes,286,71,42,Broken
